Position,Stat,Significance_Window,RMSE_Point_Estimate,RMSE_CI_Lower,RMSE_CI_Upper,Concordance_Point_Estimate,Concordance_CI_Lower,Concordance_CI_Upper,N_Seasons,Breakout_AUC_B,Breakout_AUC_P,Bust_AUC_B,Bust_AUC_P,Concordance_Point_Estimate_BiasCorrected,Concordance_CI_Lower_BiasCorrected,Concordance_CI_Upper_BiasCorrected,Family_Id,Family_Size,Predicted_Direction,Contradicts_Prediction,Breakout_AUC_Q,Bust_AUC_Q,CI_Margin_From_Zero_BiasCorrected,Excludes_Zero_BiasCorrected,Boundary_Noise
RB,WOPR,12,NA,NA,NA,-0.005,-0.0162,0.0066,12,0.544,0.17626953125,0.486,0.00592153702414871,0.0042612,-0.0069388,0.0158612,1,6,NA,FALSE,0.47247280646924633,0.11265345982142869,0.0069388,FALSE,FALSE
RB,Target_Share,12,NA,NA,NA,-0.0058,-0.0191,0.0083,12,0.548,0.12939453125,0.487,0.00341796875,0.0034612,-0.0098388,0.0175612,1,6,NA,FALSE,0.4230205829326923,0.11265345982142869,0.0098388,FALSE,FALSE
RB,Rec_First_Downs_PG,12,NA,NA,NA,-0.0014,-0.0169,0.0157,12,0.529,0.423828125,0.513,1,0.0078612,-0.0076388,0.0249612,1,6,NA,FALSE,0.6004231770833334,1,0.0076388,FALSE,FALSE
RB,Rec_Yards_PG,12,NA,NA,NA,-0.0072,-0.0248,0.013,12,0.544,0.10986328125,0.507,0.5693359375,0.0020612,-0.0155388,0.0222612,1,6,NA,FALSE,0.4230205829326923,0.9832669374001027,0.0155388,FALSE,FALSE
RB,Rec_Yards,12,NA,NA,NA,-0.0079,-0.0281,0.0133,12,0.552,0.0922851562500001,0.517,0.9697265625,0.0013612,-0.0188388,0.0225612,1,6,NA,FALSE,0.4230205829326923,1,0.0188388,FALSE,FALSE
RB,Touches_PG,12,NA,NA,NA,-0.0115,-0.026,0.0014,12,0.526,0.26611328125,0.525,0.2333984375,-0.0022388,-0.0167388,0.0106612,2,6,NA,FALSE,0.5428600674426397,0.6399634576612903,0.0106612,FALSE,FALSE
RB,Rush_Yards_PG,12,NA,NA,NA,-0.0137,-0.0211,-0.0056,12,0.511,0.306556273379373,0.513,0.7333984375,-0.0044388,-0.0118388,0.0036612,2,6,NA,FALSE,0.5428600674426397,1,0.0036612,FALSE,FALSE
RB,Scrimmage_Yards_PG,12,NA,NA,NA,0.0029,-0.0074,0.0133,12,0.546,0.142368182702515,0.496,0.791015625,0.0121612,0.0018612,0.0225612,2,6,NA,FALSE,0.43761366668737506,1,0.0018612,TRUE,TRUE
RB,Avg_Time_To_LOS,12,NA,NA,NA,-0.0069,-0.016,0.0036,9,0.511,0.293621543928906,0.437,0.182893277579828,0.00449879999999999,-0.00460120000000001,0.0149988,3,1,NA,FALSE,0.5428600674426397,0.5953663793103448,0.00460120000000001,FALSE,FALSE
RB,Boundary_Run_Pct,12,NA,NA,NA,-0.0238,-0.039,-0.0115,12,0.524,0.0922851562500001,0.505,0.9697265625,-0.0145388,-0.0297388,-0.0022388,4,1,NA,FALSE,0.4230205829326923,1,0.0022388,TRUE,TRUE
RB,RZ_Targets_PG,12,NA,NA,NA,-0.0101,-0.0212,7e-4,12,0.457,0.197326044882155,0.488,0.142368182702515,-8.38799999999999e-4,-0.0119388,0.0099612,1,6,NA,FALSE,0.4933151122053875,0.5715544239900887,0.0099612,FALSE,FALSE
RB,Pct_Stacked_Box,12,NA,NA,NA,-0.0046,-0.0105,0.0012,9,0.505,0.0934924836898357,0.447,1,0.00679879999999999,8.9879999999999e-4,0.0125988,5,1,NA,FALSE,0.4230205829326923,1,8.9879999999999e-4,TRUE,TRUE
RB,Yards_Per_Touch,12,NA,NA,NA,-0.0101,-0.0279,0.0088,12,0.467,0.12939453125,0.497,0.150785565027971,-8.38799999999999e-4,-0.0186388,0.0180612,6,1,NA,FALSE,0.4230205829326923,0.5715544239900887,0.0180612,FALSE,FALSE
RB,Touches,12,NA,NA,NA,-0.0079,-0.0182,0.0022,12,0.51,0.30126953125,0.515,0.7333984375,0.0013612,-0.0089388,0.0114612,2,6,NA,FALSE,0.5428600674426397,1,0.0089388,FALSE,FALSE
RB,RZ_Rush_Att_PG,12,NA,NA,NA,-0.005,-0.018,0.0056,12,0.481,1,0.498,0.6220703125,0.0042612,-0.0087388,0.0148612,2,6,NA,FALSE,1,0.9832669374001027,0.0087388,FALSE,FALSE
RB,Receiving_aDOT,12,NA,NA,NA,-0.0043,-0.0138,0.005,12,0.503,0.423828125,0.499,0.90966796875,0.0049612,-0.0045388,0.0142612,7,2,NA,FALSE,0.6004231770833334,1,0.0045388,FALSE,FALSE
RB,Rush_Yards,12,NA,NA,NA,-0.013,-0.0221,-0.0053,12,0.5,0.30126953125,0.51,1,-0.0037388,-0.0128388,0.0039612,2,6,NA,FALSE,0.5428600674426397,1,0.0039612,FALSE,FALSE
RB,NGS_Efficiency,12,NA,NA,NA,-0.0196,-0.0308,-0.0082,9,0.532,0.8203125,0.444,0.30078125,-0.00820120000000001,-0.0194012,0.00319879999999999,8,1,NA,FALSE,0.8826147151898733,0.7238134232568529,0.00319879999999999,FALSE,FALSE
RB,RYOE_Per_Att,12,NA,NA,NA,0.0083,-0.0322,0.0439,7,0.489,0.296875,0.517,0.375,0.0196988,-0.0208012,0.0552988,9,1,NA,FALSE,0.5428600674426397,0.7774390243902439,0.0208012,FALSE,FALSE
RB,Air_Yards_Share,12,NA,NA,NA,-0.0115,-0.0227,-0.0022,12,0.501,0.266402424640499,0.503,0.67724609375,-0.0022388,-0.0134388,0.0070612,7,2,NA,FALSE,0.5428600674426397,1,0.0070612,FALSE,FALSE
WR,Target_Share,6,NA,NA,NA,-0.0149,-0.0284,-0.0029,12,0.497,0.9697265625,0.442,0.00927734375000001,-0.0116044,-0.0251044,3.956e-4,1,9,positive,TRUE,0.993093467620482,0.11265345982142869,3.956e-4,FALSE,FALSE
WR,Rec_Yards_PG,6,NA,NA,NA,-0.0056,-0.0339,0.0205,12,0.525,0.38037109375,0.503,0.17626953125,-0.0023044,-0.0306044,0.0237956,1,9,positive,TRUE,0.5878462357954545,0.5953663793103448,0.0237956,FALSE,FALSE
